#TYPE System.Management.Automation.PSCustomObject
"Port","Protocol","H1","Description","Status"
"","","","8",""
"51","TCP","UDP","IMP Logical Address Maintenance","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"52","TCP","UDP","XNS (Xerox Network Systems) Time","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"53","TCP","UDP","Domain Name System (DNS)","Port is officialy registered by IANA for this application"
"54","TCP","UDP","XNS (Xerox Network Systems)","Port is officialy registered by IANA for this application"
"","","","Clearinghouse",""
"55","TCP","UDP","ISI Graphics Language (ISI-GL)","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"56","TCP","UDP","XNS (Xerox Network Systems)","Port is officialy registered by IANA for this application"
"","","","Authentication",""
"56","TCP","UDP","Route Access Protocol (RAP)","Port is not officialy registered by IANA for this application"
"","","","9",""
"57","TCP","","Mail Transfer Protocol (RFC 780)","Port is not officialy registered by IANA for this application"
"58","TCP","UDP","XNS (Xerox Network Systems) Mail","Port is officialy registered by IANA for this application"
"67","","UDP","Bootstrap Protocol (BOOTP)","Port is officialy registered by IANA for this application"
"","","","Server; also used by Dynamic Host Configuration Protocol (DHCP)",""
"68","","UDP","Bootstrap Protocol (BOOTP)","Port is officialy registered by IANA for this application"
"","","","Client; also used by Dynamic Host Configuration Protocol (DHCP)",""
"69","","UDP","Trivial File Transfer Protocol","Port is officialy registered by IANA for this application"
"","","","(TFTP)",""
"70","TCP","","Gopher protocol","Port is officialy registered by IANA for this application"
"71","TCP","","NETRJS protocol","Port is officialy registered by IANA for this application"
"72","TCP","","NETRJS protocol","Port is officialy registered by IANA for this application"
"73","TCP","","NETRJS protocol","Port is officialy registered by IANA for this application"
"74","TCP","","NETRJS protocol","Port is officialy registered by IANA for this application"
"79","TCP","","Finger protocol","Port is officialy registered by IANA for this application"
"80","TCP","UDP","Hypertext Transfer Protocol","Port is officialy registered by IANA for this application"
"","","","(HTTP)",""
"81","TCP","","Torpark?Onion routing","Port is not officialy registered by IANA for this application"
"82","","UDP","Torpark?Control","Port is not officialy registered by IANA for this application"
"88","TCP","UDP","Kerberos?authentication","Port is officialy registered by IANA for this application"
"","","","system citation needed",""
"90","TCP","UDP","dnsix (DoD Network Security for","Port is officialy registered by IANA for this application"
"","","","Information Exchange) Securit Attribute Token Map citation needed",""
"90","TCP","UDP","Pointcast","Port is not officialy registered by IANA for this application"
"99","TCP","","WIP Message protocol","Port is not officialy registered by IANA for this application"
"101","TCP","","NIC host name","Port is officialy registered by IANA for this application"
"102","TCP","","ISO-TSAP (Transport Service","Port is officialy registered by IANA for this application"
"","","","Access Point) Class 0 protocol 10",""
"104","TCP","UDP","ACR/NEMA Digital Imaging and","Port is officialy registered by IANA for this application"
"","","","Communications in Medicine",""
"105","TCP","UDP","CCSO Nameserver Protocol (Qi/Ph)","Port is officialy registered by IANA for this application"
"107","TCP","","Remote TELNET Service 11 protocol","Port is officialy registered by IANA for this application"
"108","TCP","UDP","SNA Gateway Access Server 12","Port is officialy registered by IANA for this application"
"109","TCP","","Post Office Protocol v2 (POP2)","Port is officialy registered by IANA for this application"
"110","TCP","","Post Office Protocol v3 (POP3)","Port is officialy registered by IANA for this application"
"111","TCP","UDP","ONC RPC (SunRPC)","Port is officialy registered by IANA for this application"
"113","TCP","","ident?Authentication","Port is officialy registered by IANA for this application"
"","","","Service/Identification Protocol, 13",""
"","","","used by IRC servers to identify users",""
"113","","UDP","Authentication Service 13 (auth)","Port is officialy registered by IANA for this application"
"115","TCP","","Simple File Transfer Protocol","Port is officialy registered by IANA for this application"
"","","","(SFTP)",""
"117","TCP","","UUCP Path Service","Port is officialy registered by IANA for this application"
"118","TCP","UDP","SQL (Structured Query Language)","Port is officialy registered by IANA for this application"
"","","","Services",""
"119","TCP","","Network News Transfer Protocol","Port is officialy registered by IANA for this application"
"","","","(NNTP)?retrieval of newsgroup messages",""
"123","","UDP","Network Time Protocol","Port is officialy registered by IANA for this application"
"","","","(NTP)?used for time synchronization",""
"135","TCP","UDP","DCE endpoint resolution","Port is officialy registered by IANA for this application"
"135","TCP","UDP","Microsoft EPMAP (End Point","Port is not officialy registered by IANA for this application"
"","","","Mapper), also known as DCE/RPC Locator service, 14 used to remotely manage services",""
"","","","including DHCP server, DNS server and WINS. Also used by DCOM",""
"137","TCP","UDP","NetBIOS NetBIOS Name Service","Port is officialy registered by IANA for this application"
"138","TCP","UDP","NetBIOS NetBIOS Datagram Service","Port is officialy registered by IANA for this application"
"139","TCP","UDP","NetBIOS NetBIOS Session Service","Port is officialy registered by IANA for this application"
"143","TCP","","Internet Message Access Protocol","Port is officialy registered by IANA for this application"
"","","","(IMAP)?management of email messages",""
"152","TCP","UDP","Background File Transfer Program","Port is officialy registered by IANA for this application"
"","","","(BFTP) 15",""
"153","TCP","UDP","SGMP, Simple Gateway Monitoring","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"156","TCP","UDP","SQL Service","Port is officialy registered by IANA for this application"
"158","TCP","UDP","DMSP, Distributed Mail Service","Port is not officialy registered by IANA for this application"
"","","","Protocol 16",""
"161","","UDP","Simple Network Management","Port is officialy registered by IANA for this application"
"","","","Protocol (SNMP)",""
"162","TCP","UDP","Simple Network Management","Port is officialy registered by IANA for this application"
"","","","Protocol Trap (SNMPTRAP) 17",""
"170","TCP","","Print-srv, Network PostScript","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"175","TCP","","VMNET (IBM z/VM, z/OS &","Port is officialy registered by IANA for this application"
"","","","z/VSE ? Network Job Entry(NJE)) citation needed",""
"177","TCP","UDP","X Display Manager Control","Port is officialy registered by IANA for this application"
"","","","Protocol (XDMCP)",""
"179","TCP","","BGP (Border Gateway Protocol)","Port is officialy registered by IANA for this application"
"194","TCP","UDP","Internet Relay Chat (IRC)","Port is officialy registered by IANA for this application"
"199","TCP","UDP","SMUX, SNMP Unix Multiplexer","Port is officialy registered by IANA for this application"
"201","TCP","UDP","AppleTalk Routing Maintenance","Port is officialy registered by IANA for this application"
"209","TCP","UDP","The Quick Mail Transfer Protocol","Port is officialy registered by IANA for this application"
"210","TCP","UDP","ANSI Z39.50","Port is officialy registered by IANA for this application"
"213","TCP","UDP","Internetwork Packet Exchange","Port is officialy registered by IANA for this application"
"","","","(IPX)",""
"218","TCP","UDP","Message posting protocol (MPP)","Port is officialy registered by IANA for this application"
"220","TCP","UDP","Internet Message Access Protocol","Port is officialy registered by IANA for this application"
"","","","(IMAP), version 3",""
"256","TCP","UDP","2DEV ?2SP? Port","Port is not officialy registered by IANA for this application"
"","","","citation needed",""
"259","TCP","UDP","ESRO, Efficient Short Remote","Port is officialy registered by IANA for this application"
"","","","Operations citation needed",""
"264","TCP","UDP","BGMP, Border Gateway Multicast","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"280","TCP","UDP","http-mgmt","Port is officialy registered by IANA for this application"
"308","TCP","","Novastor Online Backup","Port is officialy registered by IANA for this application"
"311","TCP","","Mac OS X Server Admin","Port is officialy registered by IANA for this application"
"","","","(officially AppleShare IP Web administration) citation needed",""
"318","TCP","UDP","PKIX TSP, Time Stamp Protocol","Port is officialy registered by IANA for this application"
"319","","UDP","Precision time protocol event","Port is officialy registered by IANA for this application"
"","","","messages",""
"320","","UDP","Precision time protocol general","Port is officialy registered by IANA for this application"
"","","","messages",""
"323","TCP","UDP","IMMP, Internet Message Mapping","Port is not officialy registered by IANA for this application"
"","","","Protocol citation needed",""
"350","TCP","UDP","MATIP-Type A, Mapping of Airline","Port is officialy registered by IANA for this application"
"","","","Traffic over Internet Protocol citation needed",""
"351","TCP","UDP","MATIP-Type B, Mapping of Airline","Port is officialy registered by IANA for this application"
"","","","Traffic over Internet Protocol citation needed",""
"366","TCP","UDP","ODMR, On-Demand Mail Relay","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"369","TCP","UDP","Rpc2portmap citation needed","Port is officialy registered by IANA for this application"
"370","TCP","","codaauth2?Coda","Port is officialy registered by IANA for this application"
"","","","authentication server citation needed",""
"370","","UDP","codaauth2?Coda","Port is officialy registered by IANA for this application"
"","","","authentication server citation needed",""
"370","","UDP","securecast1?Outgoing","Port is not officialy registered by IANA for this application"
"","","","packets to NAI?s servers 18 dead link",""
"371","TCP","UDP","ClearCase albd citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"383","TCP","UDP","HP data alarm manager citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"384","TCP","UDP","A Remote Network Server System","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"387","TCP","UDP","AURP, AppleTalk Update-based","Port is officialy registered by IANA for this application"
"","","","Routing Protocol 19",""
"389","TCP","UDP","Lightweight Directory Access","Port is officialy registered by IANA for this application"
"","","","Protocol (LDAP)",""
"401","TCP","UDP","UPS Uninterruptible Power Supply","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"402","TCP","","Altiris, Altiris Deployment","Port is not officialy registered by IANA for this application"
"","","","Client citation needed",""
"411","TCP","","Direct Connect Hub","Port is not officialy registered by IANA for this application"
"412","TCP","","Direct Connect Client-to-Client","Port is not officialy registered by IANA for this application"
"427","TCP","UDP","Service Location Protocol (SLP)","Port is officialy registered by IANA for this application"
"443","TCP","","HTTPS (Hypertext Transfer","Port is officialy registered by IANA for this application"
"","","","Protocol over SSL/TLS)",""
"444","TCP","UDP","SNPP, Simple Network Paging","Port is officialy registered by IANA for this application"
"","","","Protocol (RFC 1568)",""
"445","TCP","","Microsoft-DS Active Directory,","Port is officialy registered by IANA for this application"
"","","","Windows shares",""
"445","TCP","","Microsoft-DS SMB file sharing","Port is officialy registered by IANA for this application"
"464","TCP","UDP","Kerberos Change/Set password","Port is officialy registered by IANA for this application"
"465","TCP","","Cisco protocol citation","Port is not officialy registered by IANA for this application"
"","","","needed",""
"465","TCP","","SMTP over SSL","Port is not officialy registered by IANA for this application"
"475","TCP","UDP","tcpnethaspsrv (Aladdin Knowledge","Port is officialy registered by IANA for this application"
"","","","Systems Hasp services, TCP/IP version) citation needed",""
"497","TCP","","Dantz Retrospect","Port is officialy registered by IANA for this application"
"500","TCP","","Qmatic Qwin communication port","Port is not officialy registered by IANA for this application"
"","","","citation needed",""
"500","","UDP","Internet Security Association","Port is officialy registered by IANA for this application"
"","","","and Key Management Protocol (ISAKMP)",""
"501","TCP","","STMF, Simple Transportation","Port is not officialy registered by IANA for this application"
"","","","Management Framework?DOT NTCIP 1101 citation needed",""
"502","TCP","UDP","asa-appl-proto, Protocol","Port is not officialy registered by IANA for this application"
"","","","citation needed",""
"502","TCP","UDP","Modbus, Protocol","Port is not officialy registered by IANA for this application"
"504","TCP","UDP","Citadel?multiservice","Port is officialy registered by IANA for this application"
"","","","protocol for dedicated clients for the Citadel groupware system",""
"510","TCP","","First Class Protocol citation","Port is not officialy registered by IANA for this application"
"","","","needed",""
"512","TCP","","Rexec, Remote Process Execution","Port is officialy registered by IANA for this application"
"512","","UDP","comsat, together with biff","Port is officialy registered by IANA for this application"
"513","TCP","","rlogin","Port is officialy registered by IANA for this application"
"513","","UDP","Who citation needed","Port is officialy registered by IANA for this application"
"514","TCP","","Shell?used to execute","Port is officialy registered by IANA for this application"
"","","","non-interactive commands on a remote system (Remote Shell, rsh, remsh)",""
"514","","UDP","Syslog?used for system","Port is officialy registered by IANA for this application"
"","","","logging",""
"515","TCP","","Line Printer Daemon?print","Port is officialy registered by IANA for this application"
"","","","service",""
"517","","UDP","Talk citation needed","Port is officialy registered by IANA for this application"
"518","","UDP","NTalk citation needed","Port is officialy registered by IANA for this application"
"520","TCP","","efs, extended file name server","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"520","","UDP","Routing Information Protocol","Port is officialy registered by IANA for this application"
"","","","(RIP)",""
"524","TCP","UDP","NetWare Core Protocol (NCP) is","Port is officialy registered by IANA for this application"
"","","","used for a variety things such as access to primary NetWare server resources,",""
"","","","Time Synchronization, etc.",""
"525","","UDP","Timed, Timeserver citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"530","TCP","UDP","RPC citation needed","Port is officialy registered by IANA for this application"
"531","TCP","UDP","AOL Instant Messenger","Port is not officialy registered by IANA for this application"
"532","TCP","","netnews citation needed","Port is officialy registered by IANA for this application"
"533","","UDP","netwall, For Emergency","Port is officialy registered by IANA for this application"
"","","","Broadcasts citation needed",""
"540","TCP","","UUCP (Unix-to-Unix Copy","Port is officialy registered by IANA for this application"
"","","","Protocol)",""
"542","TCP","UDP","commerce (Commerce Applications)","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"543","TCP","","klogin, Kerberos login","Port is officialy registered by IANA for this application"
"544","TCP","","kshell, Kerberos Remote shell","Port is officialy registered by IANA for this application"
"545","TCP","","OSIsoft PI (VMS), OSISoft PI","Port is not officialy registered by IANA for this application"
"","","","Server Client Access",""
"546","TCP","UDP","DHCPv6 client","Port is officialy registered by IANA for this application"
"547","TCP","UDP","DHCPv6 server","Port is officialy registered by IANA for this application"
"548","TCP","","Apple Filing Protocol (AFP) over","Port is officialy registered by IANA for this application"
"","","","TCP",""
"550","","UDP","new-rwho, new-who citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"554","TCP","UDP","Real Time Streaming Protocol","Port is officialy registered by IANA for this application"
"","","","(RTSP)",""
"556","TCP","","Remotefs, RFS, rfs_server","Port is officialy registered by IANA for this application"
"560","","UDP","rmonitor, Remote Monitor","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"561","","UDP","monitor citation needed","Port is officialy registered by IANA for this application"
"563","TCP","UDP","NNTP protocol over TLS/SSL","Port is officialy registered by IANA for this application"
"","","","(NNTPS)",""
"587","TCP","","e-mail message submission","Port is officialy registered by IANA for this application"
"","","","20 (SMTP)",""
"591","TCP","","FileMaker 6.0 (and later) Web","Port is officialy registered by IANA for this application"
"","","","Sharing (HTTP Alternate, also see port 80)",""
"593","TCP","UDP","HTTP RPC Ep Map, Remote","Port is officialy registered by IANA for this application"
"","","","procedure call over Hypertext Transfer Protocol, often used by Distributed",""
"","","","Component Object Model services and Microsoft Exchange Server",""
"604","TCP","","TUNNEL profile, 21 a protocol for BEEP peers to form an","Port is officialy registered by IANA for this application"
"","","","application layer tunnel",""
"623","","UDP","ASF Remote Management and","Port is officialy registered by IANA for this application"
"","","","Control Protocol (ASF-RMCP) citation needed",""
"631","TCP","UDP","Internet Printing Protocol (IPP)","Port is officialy registered by IANA for this application"
"631","TCP","UDP","Common Unix Printing System","Port is not officialy registered by IANA for this application"
"","","","(CUPS)",""
"635","TCP","UDP","RLZ DBase citation needed","Port is officialy registered by IANA for this application"
"636","TCP","UDP","Lightweight Directory Access","Port is officialy registered by IANA for this application"
"","","","Protocol over TLS/SSL (LDAPS)",""
"639","TCP","UDP","MSDP, Multicast Source Discovery","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"641","TCP","UDP","SupportSoft Nexus Remote Command","Port is officialy registered by IANA for this application"
"","","","(control/listening): A proxy gateway connecting remote control traffic",""
"","","","citation needed",""
"646","TCP","UDP","LDP, Label Distribution","Port is officialy registered by IANA for this application"
"","","","Protocol, a routing protocol used in MPLS networks",""
"647","TCP","","DHCP Failover protocol 22","Port is officialy registered by IANA for this application"
"648","TCP","","RRP (Registry Registrar","Port is officialy registered by IANA for this application"
"","","","Protocol) 23",""
"651","TCP","UDP","IEEE-MMS citation needed","Port is officialy registered by IANA for this application"
"652","TCP","","DTCP, Dynamic Tunnel","Port is not officialy registered by IANA for this application"
"","","","Configuration Protocol citation needed",""
"653","TCP","UDP","SupportSoft Nexus Remote Command","Port is officialy registered by IANA for this application"
"","","","(data): A proxy gateway connecting remote control traffic citation",""
"","","","needed",""
"654","TCP","","Media Management System (MMS)","Port is officialy registered by IANA for this application"
"","","","Media Management Protocol (MMP) 24",""
"657","TCP","UDP","IBM RMC (Remote monitoring and","Port is officialy registered by IANA for this application"
"","","","Control) protocol, used by System p5 AIX Integrated Virtualization Manager",""
"","","","(IVM) 25 and Hardware Management",""
"","","","Console to connect managed logical partitions (LPAR) to enable dynamic partition",""
"","","","reconfiguration",""
"660","TCP","","Mac OS X Server administration","Port is officialy registered by IANA for this application"
"665","TCP","","sun-dr, Remote Dynamic","Port is not officialy registered by IANA for this application"
"","","","Reconfiguration citation needed",""
"666","","UDP","Doom, first online first-person","Port is officialy registered by IANA for this application"
"","","","shooter",""
"674","TCP","","ACAP (Application Configuration","Port is officialy registered by IANA for this application"
"","","","Access Protocol)",""
"691","TCP","","MS Exchange Routing","Port is officialy registered by IANA for this application"
"694","TCP","UDP","Linux-HA High availability","Port is officialy registered by IANA for this application"
"","","","Heartbeat",""
"695","TCP","","IEEE-MMS-SSL (IEEE Media","Port is officialy registered by IANA for this application"
"","","","Management System over SSL) 26",""
"698","","UDP","OLSR (Optimized Link State","Port is officialy registered by IANA for this application"
"","","","Routing)",""
"700","TCP","","EPP (Extensible Provisioning","Port is officialy registered by IANA for this application"
"","","","Protocol), a protocol for communication between domain name registries and",""
"","","","registrars (RFC 5734)",""
"701","TCP","","LMP (Link Management Protocol","Port is officialy registered by IANA for this application"
"","","","(Internet)), 27 a protocol that",""
"","","","runs between a pair of nodes and is used to manage traffic engineering (TE)",""
"","","","links",""
"702","TCP","","IRIS 28 29 (Internet Registry Information","Port is officialy registered by IANA for this application"
"","","","Service) over BEEP (Blocks Extensible Exchange Protocol) 30 (RFC 3983)",""
"706","TCP","","Secure Internet Live","Port is officialy registered by IANA for this application"
"","","","Conferencing (SILC)",""
"711","TCP","","Cisco Tag Distribution Protocol","Port is officialy registered by IANA for this application"
"","","","31 32 33 ?being replaced by the MPLS",""
"","","","Label Distribution Protocol 34",""
"712","TCP","","Topology Broadcast based on","Port is officialy registered by IANA for this application"
"","","","Reverse-Path Forwarding routing protocol (TBRPF) (RFC 3684)",""
"712","","UDP","Promise RAID Controller citation","Port is not officialy registered by IANA for this application"
"","","","needed",""
"720","TCP","","SMQP, Simple Message Queue","Port is not officialy registered by IANA for this application"
"","","","Protocol citation needed",""
"749","TCP","UDP","Kerberos (protocol)","Port is officialy registered by IANA for this application"
"","","","administration",""
"750","","UDP","kerberos-iv, Kerberos version IV","Port is officialy registered by IANA for this application"
"751","TCP","UDP","kerberos_master, Kerberos","Port is not officialy registered by IANA for this application"
"","","","authentication",""
"752","","UDP","passwd_server, Kerberos Password","Port is not officialy registered by IANA for this application"
"","","","(kpasswd) server",""
"753","TCP","","Reverse Routing Header (rrh)","Port is officialy registered by IANA for this application"
"","","","35",""
"753","","UDP","Reverse Routing Header (rrh)","Port is officialy registered by IANA for this application"
"753","","UDP","userreg_server, Kerberos userreg","Port is not officialy registered by IANA for this application"
"","","","server",""
"754","TCP","","tell send citation needed","Port is officialy registered by IANA for this application"
"754","TCP","","krb5_prop, Kerberos v5 slave","Port is not officialy registered by IANA for this application"
"","","","propagation",""
"754","","UDP","tell send citation needed","Port is officialy registered by IANA for this application"
"760","TCP","UDP","krbupdate kreg , Kerberos registration","Port is not officialy registered by IANA for this application"
"782","TCP","","Conserver serial-console","Port is not officialy registered by IANA for this application"
"","","","management server",""
"783","TCP","","SpamAssassin spamd daemon","Port is not officialy registered by IANA for this application"
"808","TCP","","Microsoft Net.TCP Port Sharing","Port is officialy registered by IANA for this application"
"","","","Service citation needed",""
"829","TCP","","CMP (Certificate Management","Port is not officialy registered by IANA for this application"
"","","","Protocol) citation needed",""
"843","TCP","","Adobe Flash 36","Port is officialy registered by IANA for this application"
"847","TCP","","DHCP Failover protocol","Port is officialy registered by IANA for this application"
"848","TCP","UDP","Group Domain Of Interpretation","Port is officialy registered by IANA for this application"
"","","","(GDOI) protocol citation needed",""
"860","TCP","","iSCSI (RFC 3720)","Port is officialy registered by IANA for this application"
"873","TCP","","rsync file synchronisation","Official USA only"
"","","","protocol",""
"888","TCP","","cddbp, CD DataBase (CDDB)","Port is not officialy registered by IANA for this application"
"","","","protocol (CDDBP)?unassigned but widespread use",""
"901","TCP","","Samba Web Administration Tool","Port is not officialy registered by IANA for this application"
"","","","(SWAT)",""
"901","TCP","","VMware Virtual Infrastructure","Port is not officialy registered by IANA for this application"
"","","","Client (UDP from server being managed to management console)",""
"901","","UDP","VMware Virtual Infrastructure","Port is not officialy registered by IANA for this application"
"","","","Client (UDP from server being managed to management console)",""
"902","TCP","","ideafarm-door citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"902","TCP","","VMware Server Console (TCP from","Port is not officialy registered by IANA for this application"
"","","","management console to server being Managed)",""
"902","","UDP","ideafarm-door citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"902","","UDP","VMware Server Console (UDP from","Port is not officialy registered by IANA for this application"
"","","","server being managed to management console)",""
"903","TCP","","VMware Remote Console 37","Port is not officialy registered by IANA for this application"
"904","TCP","","VMware Server Alternate (if 902","Port is not officialy registered by IANA for this application"
"","","","is in use, i.e. SUSE linux)",""
"911","TCP","","Network Console on Acid","Port is not officialy registered by IANA for this application"
"","","","(NCA)?local tty redirection over OpenSSH",""
"944","","UDP","Network File System (protocol)","Port is not officialy registered by IANA for this application"
"","","","Service",""
"953","TCP","UDP","Domain Name System (DNS) RNDC","Port is not officialy registered by IANA for this application"
"","","","Service",""
"973","","UDP","Network File System (protocol)","Port is not officialy registered by IANA for this application"
"","","","over IPv6 Service",""
"981","TCP","","SofaWare Technologies Remote","Port is not officialy registered by IANA for this application"
"","","","HTTPS management for firewall devices running embedded Check Point FireWall-1",""
"","","","software",""
"987","TCP","","Microsoft This Secure Hypertext","Port is not officialy registered by IANA for this application"
"","","","Transfer Protocol (HTTPS) port makes Windows SharePoint Services viewable",""
"","","","through Remote Web Workplace citation needed",""
"989","TCP","UDP","FTPS Protocol (data): FTP over","Port is officialy registered by IANA for this application"
"","","","TLS/SSL",""
"990","TCP","UDP","FTPS Protocol (control): FTP","Port is officialy registered by IANA for this application"
"","","","over TLS/SSL",""
"991","TCP","UDP","NAS (Netnews Administration","Port is officialy registered by IANA for this application"
"","","","System) 38",""
"992","TCP","UDP","TELNET protocol over TLS/SSL","Port is officialy registered by IANA for this application"
"993","TCP","","Internet Message Access Protocol","Port is officialy registered by IANA for this application"
"","","","over SSL (IMAPS)",""
"995","TCP","","Post Office Protocol 3 over","Port is officialy registered by IANA for this application"
"","","","TLS/SSL (POP3S)",""
"999","TCP","","ScimoreDB Database System","Port is not officialy registered by IANA for this application"
"","","","citation needed",""
"1002","TCP","","Opsware agent (aka cogbot)","Port is not officialy registered by IANA for this application"
"","","","citation needed",""
"1023","TCP","UDP","The Internet Assigned Numbers","Port is officialy registered by IANA for this application"
"","","","Authority (IANA) port number reserver",""
"1024","TCP","UDP","The Internet Assigned Numbers","Port is officialy registered by IANA for this application"
"","","","Authority (IANA) port number reserver",""
"1025","TCP","","NFS or IIS or Teradata","Port is not officialy registered by IANA for this application"
"1026","TCP","","Often used by Microsoft DCOM","Port is not officialy registered by IANA for this application"
"","","","services",""
"1029","TCP","","Often used by Microsoft DCOM","Port is not officialy registered by IANA for this application"
"","","","services",""
"1058","TCP","UDP","nim, IBM AIX Network","Port is officialy registered by IANA for this application"
"","","","Installation Manager (NIM)",""
"1059","TCP","UDP","nimreg, IBM AIX Network","Port is officialy registered by IANA for this application"
"","","","Installation Manager (NIM)",""
"1080","TCP","","SOCKS proxy","Port is officialy registered by IANA for this application"
"1085","TCP","UDP","WebObjects","Port is officialy registered by IANA for this application"
"1098","TCP","UDP","rmiactivation, RMI Activation","Port is officialy registered by IANA for this application"
"1099","TCP","UDP","rmiregistry, RMI Registry","Port is officialy registered by IANA for this application"
"1109","","UDP","The Internet Assigned Numbers","Port is officialy registered by IANA for this application"
"","","","Authority (IANA) port number reserver",""
"1109","TCP","","The Internet Assigned Numbers","Port is officialy registered by IANA for this application"
"","","","Authority (IANA) port number reserver",""
"1109","TCP","","Kerberos Post Office Protocol","Port is not officialy registered by IANA for this application"
"","","","(KPOP)",""
"1110","","UDP","EasyBits School network","Port is not officialy registered by IANA for this application"
"","","","discovery protocol (for Intel?s CMPC platform)",""
"1140","TCP","UDP","AutoNOC protocol","Port is officialy registered by IANA for this application"
"1167","","UDP","phone, conference calling","Port is not officialy registered by IANA for this application"
"1169","TCP","UDP","Tripwire","Port is officialy registered by IANA for this application"
"1176","TCP","","Perceptive Automation Indigo","Port is officialy registered by IANA for this application"
